Title: Identification of Likely Methane Absorption Features in the Optical 
       Spectra of Titan
Authors: Sithajan S., Kaewbiang L., Jones H.R.A., Rittipruk P., Meethong S.
Table: Intrinsic Titan spectral data from UVES observations
================================================================================
Byte-by-byte Description of file: datafileA2.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  8 F8.3   10-10m   Wave   Wavelength in vacuum; Angstroms
  10- 14 F5.3   ---      Flux   Relative flux (1)
  16- 20 F5.3   ---    e_Flux   Uncertainty in Flux (2)
--------------------------------------------------------------------------------
Note (1): Normalized Titan spectrum with the best-fit background removed.
Note (2): Variation in the relative flux across the 15 individual spectra.
--------------------------------------------------------------------------------
5405.282 0.990 0.024 
5405.298 0.990 0.027 
5405.313 0.995 0.021 
5405.328 1.004 0.019 
5405.344 1.010 0.022 
5405.359 1.019 0.024 
5405.375 1.019 0.027 
5405.390 1.038 0.029 
5405.405 1.029 0.029 
5405.421 0.999 0.025 
5405.436 0.982 0.019 
5405.451 0.981 0.011 
5405.467 0.983 0.007 
5405.482 0.978 0.008 
5405.497 0.977 0.007 
5405.513 0.977 0.007 
5405.528 0.978 0.009 
5405.543 0.978 0.014 
5405.559 0.980 0.016 
5405.574 0.983 0.021 
5405.589 0.988 0.031 
5405.605 0.996 0.037 
5405.620 1.011 0.032 
5405.635 1.024 0.032 
5405.651 1.044 0.028 
5405.666 1.040 0.025 
5405.681 1.057 0.027 
5405.697 1.063 0.034 
5405.712 1.077 0.039 
5405.727 1.071 0.036 
5405.743 1.046 0.035 
5405.758 1.020 0.028 
5405.773 1.000 0.019 
5405.789 0.995 0.012 
5405.804 0.993 0.008 
5405.819 0.991 0.007 
5405.835 0.993 0.007 
5405.850 0.992 0.006 
5405.865 0.992 0.006 
5405.881 0.993 0.005 
5405.896 0.992 0.005 
5405.911 0.992 0.004 
5405.927 0.992 0.004 
5405.942 0.994 0.005 
5405.957 0.994 0.004 
5405.973 0.996 0.004 
5405.988 0.998 0.005 
5406.003 0.995 0.007 
5406.019 0.994 0.006 
5406.034 0.995 0.005 
5406.050 0.994 0.007 
5406.065 0.994 0.008 
5406.080 0.996 0.007 
5406.096 0.998 0.005 
5406.111 0.998 0.004 
5406.126 0.998 0.003 
5406.142 0.997 0.003 
5406.157 0.995 0.004 
5406.172 0.997 0.005 
5406.188 0.999 0.005 
5406.203 0.999 0.005 
5406.218 1.002 0.005 
5406.234 1.004 0.005 
5406.249 1.005 0.004 
5406.264 1.002 0.003 
5406.280 1.001 0.004 
5406.295 0.999 0.005 
5406.310 0.998 0.005 
5406.326 0.996 0.005 
5406.341 0.997 0.005 
